asset_id,role,relative_path,kind,size_bytes,sha256,n_rows,n_columns,expected_rows,expected_features,shape_check
dog2_clinical,required_source_clinical,data/processed/GSE238110_DOG2_clinical_matched_indexed.csv,indexed_csv,33260,c5026685cace935304ff332b7d1f9bc5d1e969c808df7a56fcfc6df58e2707b2,186.0,25.0,186.0,,PASS
dog2_expression,required_source_expression,data/processed/GSE238110_DOG2_expression_log2cpm_matched_allgenes.csv,matrix_csv,63143134,6deae6ee8a2663fc4f7be1bb560831c465b295e5b0282bd495934222bbe16997,186.0,21016.0,186.0,21016.0,PASS
frozen_program_manifest,paper4_frozen_reference_only,results/tables/GSE238110_frozen_canine_transfer_program_manifest.csv,csv,14880,fcd34b985ea99986f39dfc43ce8e4018db2fde9ecc8a225bb40ac93006d5372c,13.0,55.0,,,PASS
frozen_scoring_spec,paper4_frozen_reference_only,results/tables/GSE238110_frozen_transfer_scoring_specification.csv,csv,14951,562aab92caa949691f43b0285cf2585c98008e78c62d2c15477a6d156d7f47a7,40.0,9.0,,,PASS
frozen_strict_weights,paper4_frozen_reference_only,results/tables/GSE238110_frozen_transfer_gene_weights_strict.csv,csv,50062,4f065aa4c4edf117a0c74015840d2b4b2347929f172cd517e1818ba0f6163b91,321.0,12.0,,,PASS
gse21257_clinical,required_human_external_clinical,data/processed/human_validation/GSE21257_clinical_standardized.csv,indexed_csv,262573,e55bdc137e56997f5453475bcd9693d0381d606f9dfbb01a8ca673f990a00ad9,53.0,47.0,53.0,,PASS
gse21257_expression,required_human_external_expression,data/processed/human_validation/GSE21257_expression_gene_symbol.csv,matrix_csv,15939530,16917b376ec94aa3196d92e39fb7aa8c6a52baa7077bc063691209a1ee68f073,53.0,24996.0,53.0,24996.0,PASS
gse239948_expression,required_external_canine_expression,data/processed/canine_validation_GSE239948_expression_log2_symbol.csv,matrix_csv,10697486,168fa2693ceb1df4ebbe22ea3e92ddb5e79e2f06024a546202d73b53d3945176,43.0,15307.0,43.0,15307.0,PASS
gse39055_clinical,required_human_stress_clinical,data/processed/human_validation/GSE39055_clinical_standardized.csv,indexed_csv,92970,e6fc6f1a983bcd85d8eb5aefeaa46af9fe8f8ce405e5982f0bb39df456665304,37.0,14.0,37.0,,PASS
gse39055_expression,required_human_stress_expression,data/processed/human_validation/GSE39055_expression_gene_symbol.csv,matrix_csv,9284958,83ac70f82531ea99f8d7c2f3c8ffc301bcf603d5a443a54abe261f3ed0945eff,37.0,20793.0,37.0,20793.0,PASS
ortholog_qc,required_cross_species_mapping_reference,results/tables/GSE238110_RNA_master_candidate_evidence_table_with_ortholog_qc.csv,csv,3115402,26673d73d3e2b3769ae0eaf776d5f9fe239c594bf8c0f71e01b6ff50d1017586,5013.0,111.0,,,PASS
paper4_freeze_json,required_upstream_provenance,results/tables/GSE238110_frozen_transfer_program_freeze.json,json,2588,c0eb0a1e10666cc6e72f08842fa36d48a4a9c49966d19f90acc09bd684748e2c,,,,,PASS
target_clinical,required_primary_human_clinical,data/processed/human_validation/TARGET_OS_clinical_standardized.csv,indexed_csv,29748,c89d6718bac4b9d2b3e880302cb5f48501814ee5a57fb609a174bdd505476793,88.0,15.0,88.0,,PASS
target_expression,required_primary_human_expression,data/processed/human_validation/TARGET_OS_expression_log2_gene_symbol.csv,matrix_csv,66594174,0cde0d000cafa4acb40f42f90bcf6b8e82ece92e5da8db1839bf99007eb5e52f,88.0,56621.0,88.0,56621.0,PASS
