relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
paper5/data_manifest/DOG2_GEO_GSM_COTC_mapping.csv,__table__,186,4,11426,sample_title,186,186,186,0,1.0,False
results/tables/GSE238110_dfi_os_univariate_cox_merged.csv,__table__,5000,14,1095087,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_dfi_univariate_cox_top5000var.csv,__table__,5000,14,1003680,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_os_univariate_cox_top5000var.csv,__table__,5000,14,1002013,__index__,0,0,0,186,0.0,False
results/tables/Ammons_scRNA_gene_celltype_localization.csv,__table__,4978,9,594519,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_repeated_cv_program_scores_by_repeat.csv,__table__,4160,9,495510,__index__,0,0,0,186,0.0,False
results/tables/cross_cohort_module_gene_subset_reliability.csv,__table__,4056,8,2983449,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_dfi_conditional_cox_mb_step_log.csv,__table__,3778,8,267477,__index__,0,0,0,186,0.0,False
results/tables/multistudy_factor_variable_only_gene_selection.csv,__table__,3700,23,1443098,__index__,0,0,0,186,0.0,False
results/tables/multistudy_factor_strict_ortholog_universe.csv,__table__,3391,20,944259,__index__,0,0,0,186,0.0,False
results/tables/GSE239948_WGCNA_module_preservation_input_universe.csv,__table__,3272,8,266528,__index__,0,0,0,186,0.0,False
results/tables/GSE239948_blind_discovered_module_membership.csv,__table__,3000,4,143129,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_os_conditional_cox_mb_step_log.csv,__table__,2839,8,198099,__index__,0,0,0,186,0.0,False
data/processed/multistudy_factor_variable_only/four_cohort_variable_only_1500/gene_metadata.csv,__table__,1500,23,576313,__index__,0,0,0,186,0.0,False
data/processed/multistudy_factor_variable_only/three_cohort_no_ffpe_variable_only_1500/gene_metadata.csv,__table__,1500,23,589184,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k12_weights.csv,__table__,1500,11,189400,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k16_weights.csv,__table__,1500,14,243415,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k8_weights.csv,__table__,1500,8,135385,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/stacked_pca_k12_loadings.csv,__table__,1500,13,392196,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/stacked_pca_k16_loadings.csv,__table__,1500,17,519793,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/stacked_pca_k8_loadings.csv,__table__,1500,9,264818,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/three_cohort_no_ffpe_variable_only_1500/mofa_k12_weights.csv,__table__,1500,11,189116,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/three_cohort_no_ffpe_variable_only_1500/mofa_k16_weights.csv,__table__,1500,14,243494,__index__,0,0,0,186,0.0,False
