query_field,description,arguments,return_type,return_named_type
numberOfCases,,,Int,Int
numberOfStudyFiles,,,Int,Int
volumeOfDataOfCase,,case_id:String!,Float,Float
volumeOfDataOfStudy,,study_code:String!,Float,Float
sampleCountOfStudy,Count with parameter,study_code:String!,Int,Int
fileCountOfStudy,,study_code:String!,Int,Int
fileCountOfStudyFiles,,study_code:String!,Int,Int
aliquotCountOfStudy,,study_code:String!,Int,Int
caseCountOfStudy,,study_code:String!,Int,Int
fileCountOfCase,,case_id:String!,Int,Int
studyFileCountOfCase,,case_id:String!,Int,Int
aliquotCountOfCase,,case_id:String!,Int,Int
studyFileCountOfProgram,,program_id:String!,Int,Int
studyCountOfProgram,,program_id:String!,Int,Int
caseCountOfProgram,,program_id:String!,Int,Int
sampleCountOfCase,,case_id:String!,Int,Int
programCountOfStudy,,study_code:String!,Int,Int
programsCountOfCase,,case_id:String!,Int,Int
filesOfCase,,case_id:String!; first:Int; offset:Int; orderBy:[_FilesOfCaseOrdering!]; filter:_FilesOfCaseFilter,[FilesOfCase],FilesOfCase
filesOfCases,,case_ids:[String!]!; first:Int; offset:Int; orderBy:[_FilesOfCaseOrdering!]; filter:_FilesOfCaseFilter,[FilesOfCase],FilesOfCase
multiStudyCases,,case_id:String,MultiStudyCases,MultiStudyCases
caseDetail,,case_id:String,CaseDetail,CaseDetail
caseOverview,,case_ids:[String]; program:[String]; study:[String]; study_type:[String]; biobank:[String]; study_participation:[String]; breed:[String]; diagnosis:[String]; disease_site:[String]; stage_of_disease:[String]; response_to_treatment:[String]; sex:[String]; neutered_status:[String]; sample_site:[String]; sample_type:[String]; sample_pathology:[String]; file_association:[String]; file_type:[String]; file_format:[String]; order_by:String; sort_direction:String; first:Int; offset:Int,[CaseOverviewES],CaseOverviewES
casesInList,,case_ids:[String!]!; first:Int; offset:Int; orderBy:[_CaseOverviewOrdering!]; filter:_CaseOverviewFilter,[CaseOverview],CaseOverview
studyDetail,,study_code:String!; first:Int; offset:Int; orderBy:[_StudyDetailOrdering!]; filter:_StudyDetailFilter,[StudyDetail],StudyDetail
casesByStudyId,Find nodes with parameters,study_id:String!; first:Int; offset:Int; orderBy:[_caseOrdering!]; filter:_caseFilter,[case],case
samplesByCaseId,,case_id:String!; first:Int; offset:Int; orderBy:[_sampleOrdering!]; filter:_sampleFilter,[sample],sample
filesOfStudy,,study_code:String!; first:Int; offset:Int; orderBy:[_fileOrdering!]; filter:_fileFilter,[file],file
studyFiles,,study_codes:[String!]; first:Int; offset:Int; orderBy:[_fileOrdering!]; filter:_fileFilter,[file],file
studyStats,,first:Int; offset:Int; orderBy:[_StudyStatOrdering!]; filter:_StudyStatFilter,[StudyStat],StudyStat
studySampleSiteCount,,study_codes:[String]; first:Int; offset:Int; orderBy:[_GroupCountOrdering!]; filter:_GroupCountFilter,[GroupCount],GroupCount
studySampleTypeCount,,study_codes:[String]; first:Int; offset:Int; orderBy:[_GroupCountOrdering!]; filter:_GroupCountFilter,[GroupCount],GroupCount
studySamplePathologyCount,,study_codes:[String]; first:Int; offset:Int; orderBy:[_GroupCountOrdering!]; filter:_GroupCountFilter,[GroupCount],GroupCount
clinicalDataNodeCounts,,study_code:String!,ClinicalDataNodeCounts,ClinicalDataNodeCounts
clinicalDataNodeCaseCounts,,study_code:String!,ClinicalDataNodeCounts,ClinicalDataNodeCounts
clinicalDataNodeNames,,,[String],String
offTreatmentNodeData,,study_code:String!; first:Int; offset:Int; orderBy:[_OffTreatmentNodeDataOrdering!]; filter:_OffTreatmentNodeDataFilter,[OffTreatmentNodeData],OffTreatmentNodeData
offStudyNodeData,,study_code:String!; first:Int; offset:Int; orderBy:[_OffStudyNodeDataOrdering!]; filter:_OffStudyNodeDataFilter,[OffStudyNodeData],OffStudyNodeData
priorSurgeryNodeDataOverview," labExamNodeData(study_code: String!): [LabExamNodeData] @cypher(statement: """"""
 MATCH (s:study)
 WHERE s.clinical_study_designation = $study_code
 MATCH (s)<-[*1..2]-(c:case)
 MATCH (c)<-[*1..2]-(v:visit)
 MATCH (v)<-[:on_visit]-(le:lab_exam)
 RETURN DISTINCT le {.*}
 """""", passThrough: true)",study_code:String!,PriorSurgeryNodeDataOverview,PriorSurgeryNodeDataOverview
breedCaseCount,,breed:String; cases:Int; filter:_BreedCaseCountFilter; first:Int; offset:Int; orderBy:[_BreedCaseCountOrdering!],[BreedCaseCount!]!,BreedCaseCount
caseOverview2,,case_id:String; study_code:String; study_type:String; cohort:String; breed:String; diagnosis:String; stage_of_disease:String; age:Float; sex:String; neutered_status:String; weight:Float; response_to_treatment:String; disease_site:String; files:[String]; other_cases:[String]; individual_id:String; primary_disease_site:String; date_of_diagnosis:String; histology_cytopathology:String; histological_grade:String; pathology_report:String; treatment_data:String; follow_up_data:String; concurrent_disease:String; concurrent_disease_type:String; arm:String; filter:_CaseOverview2Filter; first:Int; offset:Int; orderBy:[_CaseOverview2Ordering!],[CaseOverview2!]!,CaseOverview2
studyOfProgram,,program_id:String; clinical_study_id:String; clinical_study_designation:String; clinical_study_name:String; clinical_study_description:String; clinical_study_type:String; accession_id:String; study_disposition:String; date_of_iacuc_approval:String; dates_of_conduct:String; numberOfCases:Int; numberOfStudyFiles:Int; numberOfCaseFiles:Int; numberOfImageCollections:Int; numberOfPublications:Int; numberOfCRDCNodes:Int; filter:_StudyOfProgramFilter; first:Int; offset:Int; orderBy:[_StudyOfProgramOrdering!],[StudyOfProgram!]!,StudyOfProgram
studyStat,,study_code:String; files:Int; total_size_MB:Float; cases:Int; samples:Int; filter:_StudyStatFilter; first:Int; offset:Int; orderBy:[_StudyStatOrdering!],[StudyStat!]!,StudyStat
case,,case_id:String; patient_id:String; patient_first_name:String; filter:_caseFilter; first:Int; offset:Int; orderBy:[_caseOrdering!],[case!]!,case
demographic,,demographic_id:String; breed:String; additional_breed_detail:String; patient_age_at_enrollment:Float; patient_age_at_enrollment_unit:String; patient_age_at_enrollment_original:Float; patient_age_at_enrollment_original_unit:String; date_of_birth:String; sex:String; weight:Float; weight_unit:String; weight_original:Float; weight_original_unit:String; neutered_indicator:String; filter:_demographicFilter; first:Int; offset:Int; orderBy:[_demographicOrdering!],[demographic!]!,demographic
diagnosis,,diagnosis_id:String; disease_term:String; primary_disease_site:String; stage_of_disease:String; date_of_diagnosis:String; histology_cytopathology:String; date_of_histology_confirmation:String; histological_grade:String; best_response:String; pathology_report:String; treatment_data:String; follow_up_data:String; concurrent_disease:String; concurrent_disease_type:String; filter:_diagnosisFilter; first:Int; offset:Int; orderBy:[_diagnosisOrdering!],[diagnosis!]!,diagnosis
off_study,,document_number:String; date_off_study:String; reason_off_study:String; date_of_disease_progression:String; date_off_treatment:String; best_resp_vet_tx_tp_secondary_response:String; date_last_medication_administration:String; best_resp_vet_tx_tp_best_response:String; date_of_best_response:String; filter:_off_studyFilter; first:Int; offset:Int; orderBy:[_off_studyOrdering!],[off_study!]!,off_study
off_treatment,,document_number:String; date_off_treatment:String; reason_off_treatment:String; date_of_disease_progression:String; best_resp_vet_tx_tp_secondary_response:String; date_last_medication_administration:String; best_resp_vet_tx_tp_best_response:String; date_of_best_response:String; filter:_off_treatmentFilter; first:Int; offset:Int; orderBy:[_off_treatmentOrdering!],[off_treatment!]!,off_treatment
study,,clinical_study_id:String; clinical_study_designation:String; clinical_study_name:String; clinical_study_description:String; clinical_study_type:String; date_of_iacuc_approval:String; dates_of_conduct:String; accession_id:String; study_disposition:String; filter:_studyFilter; first:Int; offset:Int; orderBy:[_studyOrdering!],[study!]!,study
study_arm,,arm:String; ctep_treatment_assignment_code:String; arm_description:String; arm_id:String; filter:_study_armFilter; first:Int; offset:Int; orderBy:[_study_armOrdering!],[study_arm!]!,study_arm
study_site,,site_short_name:String; veterinary_medical_center:String; registering_institution:String; filter:_study_siteFilter; first:Int; offset:Int; orderBy:[_study_siteOrdering!],[study_site!]!,study_site
searchCases,,case_ids:[String]; program:[String]; study:[String]; study_type:[String]; biobank:[String]; study_participation:[String]; breed:[String]; diagnosis:[String]; disease_site:[String]; stage_of_disease:[String]; response_to_treatment:[String]; sex:[String]; neutered_status:[String]; sample_site:[String]; sample_type:[String]; sample_pathology:[String]; file_association:[String]; file_type:[String]; file_format:[String]; search_text:String,SearchResult,SearchResult
