type,case_id,program_name,clinical_study_designation,disease_term,breed,cotc_subject_id,__requested_study__,selected_rna186
case,COTC021-0101,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0101,COTC021,False
case,COTC021-0103,Comparative Oncology Program,COTC021,Osteosarcoma,Bernese Mountain Dog,COTC021-0103,COTC021,False
case,COTC021-0105,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0105,COTC021,True
case,COTC021-0201,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0201,COTC021,True
case,COTC021-0203,Comparative Oncology Program,COTC021,Osteosarcoma,Golden Retriever,COTC021-0203,COTC021,True
case,COTC021-0205,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0205,COTC021,False
case,COTC021-0207,Comparative Oncology Program,COTC021,Osteosarcoma,Golden Retriever,COTC021-0207,COTC021,True
case,COTC021-0209,Comparative Oncology Program,COTC021,Osteosarcoma,Saint Bernard,COTC021-0209,COTC021,True
case,COTC021-0211,Comparative Oncology Program,COTC021,Osteosarcoma,Great Dane,COTC021-0211,COTC021,True
case,COTC021-0213,Comparative Oncology Program,COTC021,Osteosarcoma,Belgian Malinois,COTC021-0213,COTC021,False
case,COTC021-0215,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0215,COTC021,True
case,COTC021-0217,Comparative Oncology Program,COTC021,Osteosarcoma,Other,COTC021-0217,COTC021,False
case,COTC021-0219,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0219,COTC021,False
case,COTC021-0226,Comparative Oncology Program,COTC021,Osteosarcoma,Greyhound,COTC021-0226,COTC021,True
case,COTC021-0301,Comparative Oncology Program,COTC021,Osteosarcoma,Rottweiler,COTC021-0301,COTC021,True
case,COTC021-0303,Comparative Oncology Program,COTC021,Osteosarcoma,Great Dane,COTC021-0303,COTC021,True
case,COTC021-0305,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0305,COTC021,True
case,COTC021-0307,Comparative Oncology Program,COTC021,Osteosarcoma,Golden Retriever,COTC021-0307,COTC021,True
case,COTC021-0309,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0309,COTC021,True
case,COTC021-0311,Comparative Oncology Program,COTC021,Osteosarcoma,Catahoula Hound,COTC021-0311,COTC021,True
case,COTC021-0313,Comparative Oncology Program,COTC021,Osteosarcoma,Irish Wolfhound,COTC021-0313,COTC021,False
case,COTC021-0314,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0314,COTC021,True
case,COTC021-0315,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0315,COTC021,False
case,COTC021-0317,Comparative Oncology Program,COTC021,Osteosarcoma,Doberman Pinscher,COTC021-0317,COTC021,True
case,COTC021-0319,Comparative Oncology Program,COTC021,Osteosarcoma,Great Dane,COTC021-0319,COTC021,False
case,COTC021-0321,Comparative Oncology Program,COTC021,Osteosarcoma,Great Pyrenees,COTC021-0321,COTC021,False
case,COTC021-0323,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0323,COTC021,False
case,COTC021-0325,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0325,COTC021,False
case,COTC021-0327,Comparative Oncology Program,COTC021,Osteosarcoma,Rottweiler,COTC021-0327,COTC021,False
case,COTC021-0329,Comparative Oncology Program,COTC021,Osteosarcoma,Alaskan Malamute,COTC021-0329,COTC021,True
case,COTC021-0335,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0335,COTC021,True
case,COTC021-0405,Comparative Oncology Program,COTC021,Osteosarcoma,Saint Bernard,COTC021-0405,COTC021,True
case,COTC021-0407,Comparative Oncology Program,COTC021,Osteosarcoma,Bulldog,COTC021-0407,COTC021,False
case,COTC021-0501,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0501,COTC021,False
case,COTC021-0503,Comparative Oncology Program,COTC021,Osteosarcoma,Greyhound,COTC021-0503,COTC021,False
case,COTC021-0505,Comparative Oncology Program,COTC021,Osteosarcoma,Mixed Breed,COTC021-0505,COTC021,True
case,COTC021-0507,Comparative Oncology Program,COTC021,Osteosarcoma,Leonberger,COTC021-0507,COTC021,False
case,COTC021-0509,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0509,COTC021,True
case,COTC021-0511,Comparative Oncology Program,COTC021,Osteosarcoma,Rottweiler,COTC021-0511,COTC021,True
case,COTC021-0513,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0513,COTC021,True
case,COTC021-0515,Comparative Oncology Program,COTC021,Osteosarcoma,Irish Wolfhound,COTC021-0515,COTC021,True
case,COTC021-0517,Comparative Oncology Program,COTC021,Osteosarcoma,Labrador Retriever,COTC021-0517,COTC021,True
