regime,model,frozen_role,eligible_for_primary_selection,n_frozen_scenarios,mean_uno_c,mean_delta_uno_c_vs_B0,negative_transfer_rate_at_deltaC_le_-0.02,catastrophic_transfer_rate_at_deltaC_le_-0.05,aggregation,analysis_role
R0,B0,frozen target-only reference,False,6,0.5725416051,0,0,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R0,B4,frozen non-selectable comparator,False,6,0.606759194,0.03421758928,0,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R0,A0,frozen non-selectable comparator,False,6,0.5734219389,0.0008803338588,0.001666666667,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R0,A1,frozen non-selectable comparator,False,6,0.60219525,0.02965364501,0.1808333333,0.16,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R0,A2,frozen selectable architecture,True,6,0.6144554957,0.04191388987,0.1008333333,0.04916666667,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R0,A3,frozen selectable architecture,True,6,0.6247653367,0.05222373177,0.02666666667,0.0025,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R0,A4,frozen non-selectable comparator,False,6,0.6283148621,0.05577325767,0.0025,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R1,B0,frozen target-only reference,False,6,0.5457206642,0,0,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R1,B4,frozen non-selectable comparator,False,6,0.5701872656,0.02446659921,0,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R1,A0,frozen non-selectable comparator,False,6,0.5465498395,0.0008291733482,0.0008333333333,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
