scenario_id,regime,transfer_regime,replicates,model,mean_uno_c,mean_delta_c_vs_B0,negative_transfer_rate,catastrophic_negative_transfer_rate,frozen_role,eligible_for_primary_selection
CORE_0000,R0,R0_FULLY_TRANSPORTABLE,200,A0,0.5406329101,-0.000351737788,0,0,frozen non-selectable comparator,False
CORE_0000,R0,R0_FULLY_TRANSPORTABLE,200,A1,0.5702227041,0.02923805366,0.27,0.265,frozen non-selectable comparator,False
CORE_0000,R0,R0_FULLY_TRANSPORTABLE,200,A2,0.5641122292,0.02312757905,0.24,0.15,frozen selectable architecture,True
CORE_0000,R0,R0_FULLY_TRANSPORTABLE,200,A3,0.6305108522,0.089526203,0.01,0,frozen selectable architecture,True
CORE_0000,R0,R0_FULLY_TRANSPORTABLE,200,A4,0.6246509312,0.08366628154,0.005,0,frozen non-selectable comparator,False
CORE_0000,R0,R0_FULLY_TRANSPORTABLE,200,B0,0.5409846476,0,0,0,frozen target-only reference,False
CORE_0000,R0,R0_FULLY_TRANSPORTABLE,200,B4,0.6179461981,0.07696155076,0,0,frozen non-selectable comparator,False
CORE_0001,R1,R1_MOSTLY_TRANSPORTABLE,200,A0,0.532042709,0.0001158561536,0,0,frozen non-selectable comparator,False
CORE_0001,R1,R1_MOSTLY_TRANSPORTABLE,200,A1,0.5392933263,0.00736647489,0.325,0.27,frozen non-selectable comparator,False
CORE_0001,R1,R1_MOSTLY_TRANSPORTABLE,200,A2,0.5434513421,0.01152448864,0.225,0.13,frozen selectable architecture,True
CORE_0001,R1,R1_MOSTLY_TRANSPORTABLE,200,A3,0.5998750216,0.06794816927,0.01,0,frozen selectable architecture,True
CORE_0001,R1,R1_MOSTLY_TRANSPORTABLE,200,A4,0.5881350929,0.05620823897,0.005,0,frozen non-selectable comparator,False
CORE_0001,R1,R1_MOSTLY_TRANSPORTABLE,200,B0,0.5319268507,0,0,0,frozen target-only reference,False
CORE_0001,R1,R1_MOSTLY_TRANSPORTABLE,200,B4,0.5854891436,0.05356229039,0,0,frozen non-selectable comparator,False
CORE_0002,R2,R2_PARTIALLY_TRANSPORTABLE,200,A0,0.512577603,-0.0006109601638,0,0,frozen non-selectable comparator,False
CORE_0002,R2,R2_PARTIALLY_TRANSPORTABLE,200,A1,0.5055399227,-0.007648639674,0.41,0.23,frozen non-selectable comparator,False
CORE_0002,R2,R2_PARTIALLY_TRANSPORTABLE,200,A2,0.5110502174,-0.002138347796,0.34,0.115,frozen selectable architecture,True
CORE_0002,R2,R2_PARTIALLY_TRANSPORTABLE,200,A3,0.5510392115,0.03785064711,0.04,0,frozen selectable architecture,True
CORE_0002,R2,R2_PARTIALLY_TRANSPORTABLE,200,A4,0.535063131,0.02187456858,0.09,0.005,frozen non-selectable comparator,False
CORE_0002,R2,R2_PARTIALLY_TRANSPORTABLE,200,B0,0.5131885633,0,0,0,frozen target-only reference,False
CORE_0002,R2,R2_PARTIALLY_TRANSPORTABLE,200,B4,0.5342072907,0.02101872717,0.01,0,frozen non-selectable comparator,False
CORE_0003,R3,R3_WEAKLY_TRANSPORTABLE,200,A0,0.5134550932,0.0002868110667,0,0,frozen non-selectable comparator,False
CORE_0003,R3,R3_WEAKLY_TRANSPORTABLE,200,A1,0.5073204461,-0.005847837982,0.365,0.135,frozen non-selectable comparator,False
CORE_0003,R3,R3_WEAKLY_TRANSPORTABLE,200,A2,0.5077400726,-0.005428209518,0.345,0.145,frozen selectable architecture,True
CORE_0003,R3,R3_WEAKLY_TRANSPORTABLE,200,A3,0.5108712435,-0.00229704124,0.25,0.07,frozen selectable architecture,True
CORE_0003,R3,R3_WEAKLY_TRANSPORTABLE,200,A4,0.4917402019,-0.02142807992,0.51,0.13,frozen non-selectable comparator,False
CORE_0003,R3,R3_WEAKLY_TRANSPORTABLE,200,B0,0.5131682838,0,0,0,frozen target-only reference,False
CORE_0003,R3,R3_WEAKLY_TRANSPORTABLE,200,B4,0.4957974839,-0.01737079883,0.415,0.06,frozen non-selectable comparator,False
CORE_0004,R4,R4_NONTRANSPORTABLE,200,A0,0.5332533689,0.0009201834925,0,0,frozen non-selectable comparator,False
CORE_0004,R4,R4_NONTRANSPORTABLE,200,A1,0.5440008761,0.01166769117,0.275,0.22,frozen non-selectable comparator,False
CORE_0004,R4,R4_NONTRANSPORTABLE,200,A2,0.5309421009,-0.001391085635,0.37,0.235,frozen selectable architecture,True
CORE_0004,R4,R4_NONTRANSPORTABLE,200,A3,0.470895234,-0.061437951,0.875,0.595,frozen selectable architecture,True
CORE_0004,R4,R4_NONTRANSPORTABLE,200,A4,0.4621736358,-0.07015954923,0.945,0.705,frozen non-selectable comparator,False
CORE_0004,R4,R4_NONTRANSPORTABLE,200,B0,0.5323331851,0,0,0,frozen target-only reference,False
CORE_0004,R4,R4_NONTRANSPORTABLE,200,B4,0.4758606139,-0.05647257175,0.955,0.55,frozen non-selectable comparator,False
CORE_0005,R5,R5_MISLEADING_SOURCE,200,A0,0.5435984954,-0.0003984809995,0,0,frozen non-selectable comparator,False
CORE_0005,R5,R5_MISLEADING_SOURCE,200,A1,0.6117519055,0.06775493044,0.145,0.135,frozen non-selectable comparator,False
CORE_0005,R5,R5_MISLEADING_SOURCE,200,A2,0.5841668403,0.04016986583,0.18,0.13,frozen selectable architecture,True
CORE_0005,R5,R5_MISLEADING_SOURCE,200,A3,0.4400703394,-0.1039266348,0.975,0.915,frozen selectable architecture,True
CORE_0005,R5,R5_MISLEADING_SOURCE,200,A4,0.4200845085,-0.1239124679,0.99,0.97,frozen non-selectable comparator,False
CORE_0005,R5,R5_MISLEADING_SOURCE,200,B0,0.5439969742,0,0,0,frozen target-only reference,False
CORE_0005,R5,R5_MISLEADING_SOURCE,200,B4,0.4454529858,-0.09854398923,1,0.955,frozen non-selectable comparator,False
