check_family,model,quantity,observed,expected,absolute_difference,tolerance,pass
canonical_05d_vs_frozen_model_aggregate,B0,equal_scenario_mean_uno_c,0.555554410057,0.555554410057,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,B0,mean_delta_uno_c_vs_B0_if_defined,0,0,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,B0,negative_transfer_rate_at_deltaC_le_-0.02,0,0,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,B0,catastrophic_transfer_rate_at_deltaC_le_-0.05,0,0,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,B4,equal_scenario_mean_uno_c,0.544988705244,0.544988705244,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,B4,mean_delta_uno_c_vs_B0_if_defined,-0.010565704684,-0.010565704684,3.81639164715e-17,5e-10,True
canonical_05d_vs_frozen_model_aggregate,B4,negative_transfer_rate_at_deltaC_le_-0.02,0.305527777778,0.305527777778,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,B4,catastrophic_transfer_rate_at_deltaC_le_-0.05,0.0994444444444,0.0994444444444,2.77555756156e-17,5e-10,True
canonical_05d_vs_frozen_model_aggregate,A0,equal_scenario_mean_uno_c,0.555351203537,0.555351203537,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,A0,mean_delta_uno_c_vs_B0_if_defined,-0.000203206399455,-0.000203206399455,4.33680868994e-19,5e-10,True
canonical_05d_vs_frozen_model_aggregate,A0,negative_transfer_rate_at_deltaC_le_-0.02,0.009,0.009,1.73472347598e-18,5e-10,True
canonical_05d_vs_frozen_model_aggregate,A0,catastrophic_transfer_rate_at_deltaC_le_-0.05,0,0,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,A1,equal_scenario_mean_uno_c,0.572198322869,0.572198322869,0,5e-10,True
canonical_05d_vs_frozen_model_aggregate,A1,mean_delta_uno_c_vs_B0_if_defined,0.0166439127562,0.0166439127562,1.73472347598e-17,5e-10,True
canonical_05d_vs_frozen_model_aggregate,A1,negative_transfer_rate_at_deltaC_le_-0.02,0.286777777778,0.286777777778,5.55111512313e-17,5e-10,True
