scenario_id	scenario_class	family	transfer_regime	regime	replicates
CORE_0000	CORE	CORE_PHASE_DIAGRAM	R0_FULLY_TRANSPORTABLE	R0	200
CORE_0001	CORE	CORE_PHASE_DIAGRAM	R1_MOSTLY_TRANSPORTABLE	R1	200
CORE_0002	CORE	CORE_PHASE_DIAGRAM	R2_PARTIALLY_TRANSPORTABLE	R2	200
CORE_0003	CORE	CORE_PHASE_DIAGRAM	R3_WEAKLY_TRANSPORTABLE	R3	200
CORE_0004	CORE	CORE_PHASE_DIAGRAM	R4_NONTRANSPORTABLE	R4	200
CORE_0005	CORE	CORE_PHASE_DIAGRAM	R5_MISLEADING_SOURCE	R5	200
CORE_0006	CORE	CORE_PHASE_DIAGRAM	R0_FULLY_TRANSPORTABLE	R0	200
CORE_0007	CORE	CORE_PHASE_DIAGRAM	R1_MOSTLY_TRANSPORTABLE	R1	200
CORE_0008	CORE	CORE_PHASE_DIAGRAM	R2_PARTIALLY_TRANSPORTABLE	R2	200
CORE_0009	CORE	CORE_PHASE_DIAGRAM	R3_WEAKLY_TRANSPORTABLE	R3	200
CORE_0010	CORE	CORE_PHASE_DIAGRAM	R4_NONTRANSPORTABLE	R4	200
CORE_0011	CORE	CORE_PHASE_DIAGRAM	R5_MISLEADING_SOURCE	R5	200
CORE_0012	CORE	CORE_PHASE_DIAGRAM	R0_FULLY_TRANSPORTABLE	R0	200
CORE_0013	CORE	CORE_PHASE_DIAGRAM	R1_MOSTLY_TRANSPORTABLE	R1	200
CORE_0014	CORE	CORE_PHASE_DIAGRAM	R2_PARTIALLY_TRANSPORTABLE	R2	200
CORE_0015	CORE	CORE_PHASE_DIAGRAM	R3_WEAKLY_TRANSPORTABLE	R3	200
CORE_0016	CORE	CORE_PHASE_DIAGRAM	R4_NONTRANSPORTABLE	R4	200
CORE_0017	CORE	CORE_PHASE_DIAGRAM	R5_MISLEADING_SOURCE	R5	200
CORE_0018	CORE	CORE_PHASE_DIAGRAM	R0_FULLY_TRANSPORTABLE	R0	200
CORE_0019	CORE	CORE_PHASE_DIAGRAM	R1_MOSTLY_TRANSPORTABLE	R1	200
CORE_0020	CORE	CORE_PHASE_DIAGRAM	R2_PARTIALLY_TRANSPORTABLE	R2	200
CORE_0021	CORE	CORE_PHASE_DIAGRAM	R3_WEAKLY_TRANSPORTABLE	R3	200
CORE_0022	CORE	CORE_PHASE_DIAGRAM	R4_NONTRANSPORTABLE	R4	200
CORE_0023	CORE	CORE_PHASE_DIAGRAM	R5_MISLEADING_SOURCE	R5	200
CORE_0024	CORE	CORE_PHASE_DIAGRAM	R0_FULLY_TRANSPORTABLE	R0	200
CORE_0025	CORE	CORE_PHASE_DIAGRAM	R1_MOSTLY_TRANSPORTABLE	R1	200
CORE_0026	CORE	CORE_PHASE_DIAGRAM	R2_PARTIALLY_TRANSPORTABLE	R2	200
CORE_0027	CORE	CORE_PHASE_DIAGRAM	R3_WEAKLY_TRANSPORTABLE	R3	200
CORE_0028	CORE	CORE_PHASE_DIAGRAM	R4_NONTRANSPORTABLE	R4	200
CORE_0029	CORE	CORE_PHASE_DIAGRAM	R5_MISLEADING_SOURCE	R5	200
CORE_0030	CORE	CORE_PHASE_DIAGRAM	R0_FULLY_TRANSPORTABLE	R0	200
CORE_0031	CORE	CORE_PHASE_DIAGRAM	R1_MOSTLY_TRANSPORTABLE	R1	200
CORE_0032	CORE	CORE_PHASE_DIAGRAM	R2_PARTIALLY_TRANSPORTABLE	R2	200
CORE_0033	CORE	CORE_PHASE_DIAGRAM	R3_WEAKLY_TRANSPORTABLE	R3	200
CORE_0034	CORE	CORE_PHASE_DIAGRAM	R4_NONTRANSPORTABLE	R4	200
CORE_0035	CORE	CORE_PHASE_DIAGRAM	R5_MISLEADING_SOURCE	R5	200
STRESS_0036	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0037	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0038	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0039	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0040	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0041	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0042	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0043	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0044	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
