scenario_id,scenario_class,family,regime,replicates,npz_relative_path,npz_sha256,npz_bytes
CORE_0000,CORE,CORE_PHASE_DIAGRAM,R0,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0000.npz,22c05074dd7dde4ce4dcd40ec60d9543529831bae5917b7190f70a890f4ecf36,37390
CORE_0001,CORE,CORE_PHASE_DIAGRAM,R1,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0001.npz,f06c1a58a6e02bcb14411a5b40932de2d819e4b5e0070f686406af8c7861147f,44444
CORE_0002,CORE,CORE_PHASE_DIAGRAM,R2,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0002.npz,beee1e0376817b3d1f6a93c5256a273c6346468d5da71b3fcfe99d5e1e0716d6,44652
CORE_0003,CORE,CORE_PHASE_DIAGRAM,R3,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0003.npz,7f303fec88f81e11e87643793f57716a16140432f9c58267d9981d265ba8753f,44466
CORE_0004,CORE,CORE_PHASE_DIAGRAM,R4,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0004.npz,99b22f50690ebeacbd4dc1cffbd3e13b99b6ecf79b09a754e1704bb38a8c617d,38786
CORE_0005,CORE,CORE_PHASE_DIAGRAM,R5,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0005.npz,c0e358f67ae58d05ca83d323bb2209489eda84808ab904a4478912295ed1fddc,38805
CORE_0006,CORE,CORE_PHASE_DIAGRAM,R0,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0006.npz,f5835dd36a504e275249582420e6b8c5a3c3a2617d7eea267f8e34f1c7fe6894,37806
CORE_0007,CORE,CORE_PHASE_DIAGRAM,R1,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0007.npz,20ab658cdea369fa4a9d48312a7130b51fd11f196b18036fbc7ba7283f3690eb,44723
CORE_0008,CORE,CORE_PHASE_DIAGRAM,R2,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0008.npz,36a80326ebb519ba855cc228a0636e4f59fdd0c6942cd2535b6d46969f68427b,44897
CORE_0009,CORE,CORE_PHASE_DIAGRAM,R3,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0009.npz,e4141236cf08d2b776d56e65abe4184b091d11b6740affabe56f95602249c381,44662
CORE_0010,CORE,CORE_PHASE_DIAGRAM,R4,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0010.npz,3e49aa5a55a1b3cb4948205d4efb69823236c08542676e1400065e8a8bd10f56,38788
CORE_0011,CORE,CORE_PHASE_DIAGRAM,R5,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0011.npz,f4d4cf06d3d53d9dd500f2e6806684405311365ec0551c8d28e8f74b15db42f8,39223
CORE_0012,CORE,CORE_PHASE_DIAGRAM,R0,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0012.npz,56d2771cf4bd75da7338cb829cd1c662b2eae9cd754aa8b6741aba1f75a5a958,37726
CORE_0013,CORE,CORE_PHASE_DIAGRAM,R1,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0013.npz,02f884d30ca696dff4045a1c3f73acc9883029403860dd68131d619f5134e741,44876
CORE_0014,CORE,CORE_PHASE_DIAGRAM,R2,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0014.npz,770826dc0aa759935877fed44f2cb3c10f3c67d7e90e2b4838782b258d636091,45052
CORE_0015,CORE,CORE_PHASE_DIAGRAM,R3,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0015.npz,d4510b3abfc7a87203a92d2935a54c101a303497da0979c361b7a3529c517c27,45026
CORE_0016,CORE,CORE_PHASE_DIAGRAM,R4,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0016.npz,b1f663eb79acd6b9a90526363dac5c5b459d27a29a32bf5bfc24fee58486238f,38713
CORE_0017,CORE,CORE_PHASE_DIAGRAM,R5,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0017.npz,0bed02c2b60c53fc1cf625606a5c2d1c6fd4a0d945ed7de6088ea044d2733b77,39304
CORE_0018,CORE,CORE_PHASE_DIAGRAM,R0,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0018.npz,165b48c790a0fcf379dffcebd3148b6b0d5518b46f7026c24491b25faccd4b1b,37676
CORE_0019,CORE,CORE_PHASE_DIAGRAM,R1,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0019.npz,87fcbc6983f1549f330562f85d7ce73c699883c4f51e41f2362c56ea9ee6af1c,45091
CORE_0020,CORE,CORE_PHASE_DIAGRAM,R2,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0020.npz,4340a5af9b6ee20bee6df3c205247b49c57a849d97cd0bf82d323a50af717675,45655
CORE_0021,CORE,CORE_PHASE_DIAGRAM,R3,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0021.npz,80af84b90ea11557e14c43629298d84eb2caf56dc6d715eece962328c66c5e26,44978
CORE_0022,CORE,CORE_PHASE_DIAGRAM,R4,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0022.npz,a6a501101dfa861114c1f6fafbb4b078d799f48c9e47e49d930977a4c696c2ed,38920
CORE_0023,CORE,CORE_PHASE_DIAGRAM,R5,200,results\simulation_phase_diagram\05d\scenario_metrics\CORE_0023.npz,9bb6056dc0b03dde373e1b8f2d868e94cb568e2996af95f0fca0d09a86d4b8f5,39205
