regime,model,n_scenarios,mean_delta_uno_c,negative_transfer_rate_at_deltaC_le_-0.02,catastrophic_transfer_rate_at_deltaC_le_-0.05
R0,A2,6,0.04191388987,0.1008333333,0.04916666667
R0,A3,6,0.05222373177,0.02666666667,0.0025
R1,A2,6,0.02583461545,0.145,0.06416666667
R1,A3,6,0.04518769862,0.02083333333,0.0008333333333
R2,A2,78,-0.0002159920433,0.2791025641,0.07769230769
R2,A3,78,0.01661508428,0.123525641,0.01826923077
R3,A2,6,-0.008547455991,0.3641666667,0.1316666667
R3,A3,6,-0.004733654069,0.2816666667,0.03583333333
R4,A2,6,0.006411867164,0.2766666667,0.13
R4,A3,6,-0.03631602063,0.6891666667,0.2716666667
R5,A2,78,0.028063334,0.1498076923,0.05955128205
R5,A3,78,-0.0797678626,0.9204487179,0.7121794872
