scenario_id,model,threshold_delta_uno_c,scenario_rate,replicates
CORE_0000,A2,-0.01,0.28,200
CORE_0000,A2,-0.02,0.24,200
CORE_0000,A2,-0.03,0.195,200
CORE_0000,A2,-0.04,0.17,200
CORE_0000,A2,-0.05,0.15,200
CORE_0000,A2,-0.06,0.135,200
CORE_0000,A3,-0.01,0.01,200
CORE_0000,A3,-0.02,0.01,200
CORE_0000,A3,-0.03,0.005,200
CORE_0000,A3,-0.04,0.005,200
CORE_0000,A3,-0.05,0,200
CORE_0000,A3,-0.06,0,200
CORE_0001,A2,-0.01,0.26,200
CORE_0001,A2,-0.02,0.225,200
CORE_0001,A2,-0.03,0.2,200
CORE_0001,A2,-0.04,0.16,200
CORE_0001,A2,-0.05,0.13,200
CORE_0001,A2,-0.06,0.105,200
CORE_0001,A3,-0.01,0.015,200
CORE_0001,A3,-0.02,0.01,200
CORE_0001,A3,-0.03,0.005,200
CORE_0001,A3,-0.04,0.005,200
CORE_0001,A3,-0.05,0,200
CORE_0001,A3,-0.06,0,200
CORE_0002,A2,-0.01,0.42,200
CORE_0002,A2,-0.02,0.34,200
CORE_0002,A2,-0.03,0.225,200
CORE_0002,A2,-0.04,0.17,200
CORE_0002,A2,-0.05,0.115,200
CORE_0002,A2,-0.06,0.075,200
CORE_0002,A3,-0.01,0.08,200
CORE_0002,A3,-0.02,0.04,200
CORE_0002,A3,-0.03,0.02,200
CORE_0002,A3,-0.04,0.015,200
CORE_0002,A3,-0.05,0,200
CORE_0002,A3,-0.06,0,200
CORE_0003,A2,-0.01,0.435,200
CORE_0003,A2,-0.02,0.345,200
CORE_0003,A2,-0.03,0.235,200
CORE_0003,A2,-0.04,0.185,200
CORE_0003,A2,-0.05,0.145,200
CORE_0003,A2,-0.06,0.105,200
CORE_0003,A3,-0.01,0.42,200
CORE_0003,A3,-0.02,0.25,200
CORE_0003,A3,-0.03,0.155,200
CORE_0003,A3,-0.04,0.11,200
CORE_0003,A3,-0.05,0.07,200
CORE_0003,A3,-0.06,0.04,200
CORE_0004,A2,-0.01,0.4,200
CORE_0004,A2,-0.02,0.37,200
CORE_0004,A2,-0.03,0.3,200
CORE_0004,A2,-0.04,0.255,200
CORE_0004,A2,-0.05,0.235,200
CORE_0004,A2,-0.06,0.185,200
CORE_0004,A3,-0.01,0.94,200
CORE_0004,A3,-0.02,0.875,200
CORE_0004,A3,-0.03,0.8,200
CORE_0004,A3,-0.04,0.675,200
CORE_0004,A3,-0.05,0.595,200
CORE_0004,A3,-0.06,0.485,200
CORE_0005,A2,-0.01,0.225,200
CORE_0005,A2,-0.02,0.18,200
CORE_0005,A2,-0.03,0.16,200
CORE_0005,A2,-0.04,0.15,200
CORE_0005,A2,-0.05,0.13,200
CORE_0005,A2,-0.06,0.105,200
CORE_0005,A3,-0.01,0.985,200
CORE_0005,A3,-0.02,0.975,200
CORE_0005,A3,-0.03,0.96,200
CORE_0005,A3,-0.04,0.945,200
CORE_0005,A3,-0.05,0.915,200
CORE_0005,A3,-0.06,0.87,200
CORE_0006,A2,-0.01,0.125,200
CORE_0006,A2,-0.02,0.12,200
CORE_0006,A2,-0.03,0.095,200
CORE_0006,A2,-0.04,0.075,200
CORE_0006,A2,-0.05,0.06,200
CORE_0006,A2,-0.06,0.05,200
CORE_0006,A3,-0.01,0.015,200
CORE_0006,A3,-0.02,0.005,200
CORE_0006,A3,-0.03,0,200
CORE_0006,A3,-0.04,0,200
CORE_0006,A3,-0.05,0,200
CORE_0006,A3,-0.06,0,200
CORE_0007,A2,-0.01,0.25,200
CORE_0007,A2,-0.02,0.18,200
CORE_0007,A2,-0.03,0.135,200
CORE_0007,A2,-0.04,0.09,200
CORE_0007,A2,-0.05,0.07,200
CORE_0007,A2,-0.06,0.05,200
CORE_0007,A3,-0.01,0.015,200
CORE_0007,A3,-0.02,0.015,200
CORE_0007,A3,-0.03,0.005,200
CORE_0007,A3,-0.04,0.005,200
CORE_0007,A3,-0.05,0,200
CORE_0007,A3,-0.06,0,200
CORE_0008,A2,-0.01,0.43,200
CORE_0008,A2,-0.02,0.3,200
CORE_0008,A2,-0.03,0.225,200
CORE_0008,A2,-0.04,0.16,200
CORE_0008,A2,-0.05,0.085,200
CORE_0008,A2,-0.06,0.06,200
CORE_0008,A3,-0.01,0.075,200
CORE_0008,A3,-0.02,0.03,200
CORE_0008,A3,-0.03,0.02,200
CORE_0008,A3,-0.04,0.015,200
CORE_0008,A3,-0.05,0.005,200
CORE_0008,A3,-0.06,0,200
CORE_0009,A2,-0.01,0.445,200
CORE_0009,A2,-0.02,0.325,200
CORE_0009,A2,-0.03,0.255,200
CORE_0009,A2,-0.04,0.18,200
CORE_0009,A2,-0.05,0.135,200
CORE_0009,A2,-0.06,0.085,200
CORE_0009,A3,-0.01,0.425,200
CORE_0009,A3,-0.02,0.31,200
CORE_0009,A3,-0.03,0.185,200
CORE_0009,A3,-0.04,0.075,200
CORE_0009,A3,-0.05,0.015,200
CORE_0009,A3,-0.06,0.01,200
CORE_0010,A2,-0.01,0.385,200
CORE_0010,A2,-0.02,0.285,200
CORE_0010,A2,-0.03,0.235,200
CORE_0010,A2,-0.04,0.185,200
CORE_0010,A2,-0.05,0.15,200
CORE_0010,A2,-0.06,0.105,200
CORE_0010,A3,-0.01,0.94,200
CORE_0010,A3,-0.02,0.84,200
CORE_0010,A3,-0.03,0.695,200
CORE_0010,A3,-0.04,0.485,200
CORE_0010,A3,-0.05,0.35,200
CORE_0010,A3,-0.06,0.22,200
CORE_0011,A2,-0.01,0.12,200
CORE_0011,A2,-0.02,0.11,200
CORE_0011,A2,-0.03,0.085,200
CORE_0011,A2,-0.04,0.075,200
CORE_0011,A2,-0.05,0.065,200
CORE_0011,A2,-0.06,0.06,200
CORE_0011,A3,-0.01,0.99,200
CORE_0011,A3,-0.02,0.985,200
CORE_0011,A3,-0.03,0.965,200
CORE_0011,A3,-0.04,0.925,200
CORE_0011,A3,-0.05,0.84,200
CORE_0011,A3,-0.06,0.7,200
CORE_0012,A2,-0.01,0.115,200
CORE_0012,A2,-0.02,0.09,200
CORE_0012,A2,-0.03,0.07,200
CORE_0012,A2,-0.04,0.07,200
CORE_0012,A2,-0.05,0.045,200
CORE_0012,A2,-0.06,0.035,200
CORE_0012,A3,-0.01,0.035,200
CORE_0012,A3,-0.02,0.015,200
CORE_0012,A3,-0.03,0.005,200
CORE_0012,A3,-0.04,0,200
CORE_0012,A3,-0.05,0,200
CORE_0012,A3,-0.06,0,200
CORE_0013,A2,-0.01,0.205,200
CORE_0013,A2,-0.02,0.165,200
CORE_0013,A2,-0.03,0.125,200
CORE_0013,A2,-0.04,0.11,200
CORE_0013,A2,-0.05,0.09,200
CORE_0013,A2,-0.06,0.06,200
CORE_0013,A3,-0.01,0.03,200
CORE_0013,A3,-0.02,0.015,200
CORE_0013,A3,-0.03,0.01,200
CORE_0013,A3,-0.04,0,200
CORE_0013,A3,-0.05,0,200
CORE_0013,A3,-0.06,0,200
CORE_0014,A2,-0.01,0.4,200
CORE_0014,A2,-0.02,0.335,200
CORE_0014,A2,-0.03,0.245,200
CORE_0014,A2,-0.04,0.135,200
CORE_0014,A2,-0.05,0.07,200
CORE_0014,A2,-0.06,0.035,200
CORE_0014,A3,-0.01,0.125,200
CORE_0014,A3,-0.02,0.05,200
CORE_0014,A3,-0.03,0.02,200
CORE_0014,A3,-0.04,0.01,200
CORE_0014,A3,-0.05,0,200
CORE_0014,A3,-0.06,0,200
CORE_0015,A2,-0.01,0.54,200
CORE_0015,A2,-0.02,0.385,200
CORE_0015,A2,-0.03,0.29,200
CORE_0015,A2,-0.04,0.215,200
CORE_0015,A2,-0.05,0.145,200
CORE_0015,A2,-0.06,0.095,200
CORE_0015,A3,-0.01,0.42,200
CORE_0015,A3,-0.02,0.255,200
CORE_0015,A3,-0.03,0.17,200
CORE_0015,A3,-0.04,0.095,200
CORE_0015,A3,-0.05,0.045,200
CORE_0015,A3,-0.06,0.015,200
CORE_0016,A2,-0.01,0.415,200
CORE_0016,A2,-0.02,0.355,200
CORE_0016,A2,-0.03,0.26,200
CORE_0016,A2,-0.04,0.175,200
CORE_0016,A2,-0.05,0.125,200
CORE_0016,A2,-0.06,0.09,200
CORE_0016,A3,-0.01,0.895,200
CORE_0016,A3,-0.02,0.81,200
CORE_0016,A3,-0.03,0.66,200
CORE_0016,A3,-0.04,0.455,200
CORE_0016,A3,-0.05,0.305,200
CORE_0016,A3,-0.06,0.165,200
CORE_0017,A2,-0.01,0.08,200
CORE_0017,A2,-0.02,0.065,200
CORE_0017,A2,-0.03,0.045,200
CORE_0017,A2,-0.04,0.045,200
CORE_0017,A2,-0.05,0.03,200
CORE_0017,A2,-0.06,0.025,200
CORE_0017,A3,-0.01,0.99,200
CORE_0017,A3,-0.02,0.95,200
CORE_0017,A3,-0.03,0.895,200
CORE_0017,A3,-0.04,0.77,200
CORE_0017,A3,-0.05,0.66,200
CORE_0017,A3,-0.06,0.535,200
CORE_0018,A2,-0.01,0.085,200
CORE_0018,A2,-0.02,0.065,200
CORE_0018,A2,-0.03,0.04,200
CORE_0018,A2,-0.04,0.03,200
CORE_0018,A2,-0.05,0.02,200
CORE_0018,A2,-0.06,0.015,200
CORE_0018,A3,-0.01,0.06,200
CORE_0018,A3,-0.02,0.03,200
CORE_0018,A3,-0.03,0.025,200
CORE_0018,A3,-0.04,0.015,200
CORE_0018,A3,-0.05,0.01,200
CORE_0018,A3,-0.06,0,200
CORE_0019,A2,-0.01,0.17,200
CORE_0019,A2,-0.02,0.13,200
CORE_0019,A2,-0.03,0.095,200
CORE_0019,A2,-0.04,0.07,200
CORE_0019,A2,-0.05,0.06,200
CORE_0019,A2,-0.06,0.045,200
CORE_0019,A3,-0.01,0.05,200
CORE_0019,A3,-0.02,0.025,200
CORE_0019,A3,-0.03,0.005,200
CORE_0019,A3,-0.04,0,200
CORE_0019,A3,-0.05,0,200
CORE_0019,A3,-0.06,0,200
CORE_0020,A2,-0.01,0.38,200
CORE_0020,A2,-0.02,0.29,200
CORE_0020,A2,-0.03,0.22,200
CORE_0020,A2,-0.04,0.155,200
CORE_0020,A2,-0.05,0.11,200
CORE_0020,A2,-0.06,0.05,200
CORE_0020,A3,-0.01,0.105,200
CORE_0020,A3,-0.02,0.06,200
CORE_0020,A3,-0.03,0.03,200
CORE_0020,A3,-0.04,0.005,200
CORE_0020,A3,-0.05,0,200
CORE_0020,A3,-0.06,0,200
CORE_0021,A2,-0.01,0.535,200
CORE_0021,A2,-0.02,0.45,200
CORE_0021,A2,-0.03,0.375,200
CORE_0021,A2,-0.04,0.275,200
CORE_0021,A2,-0.05,0.165,200
CORE_0021,A2,-0.06,0.105,200
CORE_0021,A3,-0.01,0.495,200
CORE_0021,A3,-0.02,0.325,200
CORE_0021,A3,-0.03,0.205,200
CORE_0021,A3,-0.04,0.11,200
CORE_0021,A3,-0.05,0.035,200
CORE_0021,A3,-0.06,0.005,200
CORE_0022,A2,-0.01,0.35,200
CORE_0022,A2,-0.02,0.27,200
CORE_0022,A2,-0.03,0.205,200
CORE_0022,A2,-0.04,0.15,200
CORE_0022,A2,-0.05,0.09,200
CORE_0022,A2,-0.06,0.06,200
CORE_0022,A3,-0.01,0.835,200
CORE_0022,A3,-0.02,0.69,200
CORE_0022,A3,-0.03,0.56,200
CORE_0022,A3,-0.04,0.39,200
CORE_0022,A3,-0.05,0.23,200
CORE_0022,A3,-0.06,0.13,200
CORE_0023,A2,-0.01,0.06,200
