definition_family,model,severity_threshold_delta_uno_c,is_frozen_primary_definition,equal_scenario_rate,difference_vs_frozen_primary_definition,reference_rate_line_1,reference_rate_line_2,reference_rate_line_3,analysis_role,at_or_below_reference_rate_line_1,at_or_below_reference_rate_line_2,at_or_below_reference_rate_line_3
negative_transfer,A2,-0.01,False,0.2896111111,0.07419444444,0.05,0.1,0.15,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
negative_transfer,A2,-0.02,True,0.2154166667,0,0.05,0.1,0.15,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
negative_transfer,A2,-0.03,False,0.1533888889,-0.06202777778,0.05,0.1,0.15,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
catastrophic_transfer,A2,-0.04,False,0.1069722222,0.035,0.025,0.05,0.075,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
catastrophic_transfer,A2,-0.05,True,0.07197222222,0,0.025,0.05,0.075,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,True
catastrophic_transfer,A2,-0.06,False,0.04730555556,-0.02466666667,0.025,0.05,0.075,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,True,True
negative_transfer,A3,-0.01,False,0.5467777778,0.06044444444,0.05,0.1,0.15,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
negative_transfer,A3,-0.02,True,0.4863333333,0,0.05,0.1,0.15,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
negative_transfer,A3,-0.03,False,0.42925,-0.05708333333,0.05,0.1,0.15,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
catastrophic_transfer,A3,-0.04,False,0.3758888889,0.049,0.025,0.05,0.075,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
catastrophic_transfer,A3,-0.05,True,0.3268888889,0,0.025,0.05,0.075,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
catastrophic_transfer,A3,-0.06,False,0.2818333333,-0.04505555556,0.025,0.05,0.075,POST-HOLD SENSITIVITY OF ESTIMATED SAFETY PROFILE; NOT A REOPENED PASS/FAIL DECISION,False,False,False
