relative_path,n_rows,n_columns,columns,has_id,has_event,has_time,has_repeat,has_fold,has_train_test,has_model,has_ibs,has_risk,read_error
results\human_posthold_descriptive\05f3f\execution_input\TARGET_OS_complete86_primary_endpoint.tsv,86,6,execution_index_86 | source_sample_index_88 | sample_id | case_key | os_time_days | os_event,True,True,True,False,False,False,False,False,False,
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_classical_inner_tuning.tsv,13600,11,inner_fold | alpha | uno_c | gradient_norm | status | alpha_mean_uno_c | n_finite | chosen_alpha | repeat | outer_fold | model_id,True,True,False,True,True,False,True,False,False,
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_fold_metrics.tsv,900,12,repeat | outer_fold | model_id | n_train | events_train | n_test | events_test | uno_c | ibs | ibs_status | risk_sd | risk_q99_q01,True,True,False,True,True,True,True,True,True,
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_model_summary.tsv,9,9,model_id | uno_c | uno_valid_repeats | ibs | ibs_valid_repeats | risk_sd | risk_sd_valid_repeats | risk_q99_q01 | risk_q99_q01_valid_repeats,True,False,False,True,False,False,True,True,True,
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_oof_predictions.tsv,15480,7,repeat | outer_fold | model_id | sample_index | sample_id | case_key | risk,True,False,False,True,True,False,True,False,True,
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_patient_bootstrap_delta_uno.tsv,30000,3,bootstrap_index | contrast | delta_uno_c,False,False,False,False,False,False,False,False,False,
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_patient_bootstrap_model_uno.tsv,45000,3,bootstrap_index | model_id | uno_c,True,False,False,False,False,False,True,False,False,
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_split_registry.tsv,8600,6,repeat | outer_fold | sample_index | sample_id | case_key | role,True,False,False,True,True,False,False,False,False,
results\human_posthold_descriptive\05f3c\TARGET86_zero_time_metric_support_audit.tsv,100,12,repeat | outer_fold | n_train | n_test | events_train | events_test | zero_time_in_train | zero_time_in_test | surv_constructor_status | uno_support_status | ibs_grid_status | ibs_grid_n,True,True,True,True,True,True,False,True,False,
results\human_posthold_descriptive\05f3c\zero_time_synthetic_survival_stack_audit.tsv,5,3,check | status | detail,False,True,False,False,False,False,False,False,False,
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_complete_primary_endpoint_roster.tsv,86,12,sample_index_88 | sample_id | case_key | clinical_row_index | clinical_identifier | os_event_raw | os_time_days_raw | event_parse_status | time_parse_status | endpoint_complete | os_event_parsed | os_time_days_parsed,True,True,True,False,False,False,False,False,False,
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_endpoint_completeness_audit.tsv,88,12,sample_index_88 | sample_id | case_key | clinical_row_index | clinical_identifier | os_event_raw | os_time_days_raw | event_parse_status | time_parse_status | endpoint_complete | os_event_parsed | os_time_days_parsed,True,True,True,False,False,False,False,False,False,
results\human_posthold_descriptive\05f3b_v2\TARGET_OS_incomplete_primary_endpoint_roster.tsv,2,12,sample_index_88 | sample_id | case_key | clinical_row_index | clinical_identifier | os_event_raw | os_time_days_raw | event_parse_status | time_parse_status | endpoint_complete | os_event_parsed | os_time_days_parsed,True,True,True,False,False,False,False,False,False,
results\human_posthold_descriptive\05f2b\DOG2_source_artifact_replay_audit.tsv,2,4,check | status | max_abs_difference | correlation,False,True,False,False,False,False,False,False,False,
results\human_posthold_descriptive\05f2b\TARGET_final_output_schema.tsv,8,3,artifact | role | required,False,False,False,False,False,False,False,False,False,
results\human_posthold_descriptive\05f1c\TARGET_clinical_header.tsv,16,4,column_index | column_name | normalized_name | values_read_in_05f1c,False,False,False,False,False,False,False,False,False,
