repeat	outer_fold	n_train	events_train	n_test	events_test	train_indices_csv	test_indices_csv
0	0	68	23	18	6	0,1,3,4,5,6,7,8,10,13,14,18,19,20,21,22,23,24,25,27,28,29,30,32,33,34,35,36,37,38,40,41,42,43,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,67,68,69,72,73,74,76,77,78,79,80,81,82,83	2,9,11,12,15,16,17,26,31,39,44,55,66,70,71,75,84,85
0	1	69	24	17	5	1,2,3,4,5,6,9,11,12,13,14,15,16,17,18,19,22,23,24,26,27,28,30,31,32,33,35,36,37,39,40,41,42,43,44,45,46,48,49,51,52,53,54,55,56,57,58,59,60,61,63,65,66,67,68,69,70,71,73,74,75,77,78,79,80,82,83,84,85	0,7,8,10,20,21,25,29,34,38,47,50,62,64,72,76,81
0	2	69	23	17	6	0,1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,20,21,23,25,26,27,28,29,31,33,34,35,36,37,38,39,41,42,43,44,47,50,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,76,77,78,79,80,81,82,84,85	5,14,18,19,22,24,30,32,40,45,46,48,49,51,53,68,83
0	3	69	23	17	6	0,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,55,57,59,60,62,64,66,67,68,69,70,71,72,75,76,77,78,81,82,83,84,85	1,6,13,27,28,35,52,54,56,58,61,63,65,73,74,79,80
0	4	69	23	17	6	0,1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,34,35,38,39,40,44,45,46,47,48,49,50,51,52,53,54,55,56,58,61,62,63,64,65,66,68,70,71,72,73,74,75,76,79,80,81,83,84,85	3,4,23,33,36,37,41,42,43,57,59,60,67,69,77,78,82
1	0	68	23	18	6	0,1,2,3,4,6,7,8,9,10,11,13,14,15,16,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,38,39,40,41,44,46,47,48,50,51,52,54,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,75,77,79,80,81,82,83,84	5,12,17,18,19,32,37,42,43,45,49,53,55,60,74,76,78,85
1	1	69	24	17	5	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,21,22,23,24,25,26,27,28,31,32,33,35,36,37,39,40,41,42,43,44,45,46,47,48,49,50,53,54,55,56,58,59,60,61,62,63,65,67,68,70,71,72,74,75,76,77,78,80,82,83,85	0,14,20,29,30,34,38,51,52,57,64,66,69,73,79,81,84
1	2	69	23	17	6	0,2,3,4,5,7,8,9,10,12,13,14,15,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,34,35,37,38,42,43,44,45,48,49,50,51,52,53,55,56,57,58,59,60,62,63,64,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,83,84,85	1,6,11,16,23,33,36,39,40,41,46,47,54,61,65,70,82
1	3	69	23	17	6	0,1,2,3,5,6,9,11,12,13,14,16,17,18,19,20,22,23,26,27,29,30,31,32,33,34,36,37,38,39,40,41,42,43,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,64,65,66,68,69,70,71,73,74,76,77,78,79,80,81,82,83,84,85	4,7,8,10,15,21,24,25,28,35,44,48,62,63,67,72,75
1	4	69	23	17	6	0,1,4,5,6,7,8,10,11,12,14,15,16,17,18,19,20,21,23,24,25,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,55,57,60,61,62,63,64,65,66,67,69,70,72,73,74,75,76,78,79,81,82,84,85	2,3,9,13,22,26,27,31,50,56,58,59,68,71,77,80,83
2	0	68	23	18	6	2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,47,49,50,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,73,74,75,76,77,79,81,85	0,1,6,16,25,33,46,48,51,52,53,62,72,78,80,82,83,84
2	1	69	24	17	5	0,1,2,4,5,6,7,10,11,14,15,16,17,18,19,20,21,23,24,25,27,28,29,30,32,33,34,35,36,37,38,40,41,42,43,45,46,48,50,51,52,53,55,56,58,59,61,62,63,64,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85	3,8,9,12,13,22,26,31,39,44,47,49,54,57,60,65,73
2	2	69	23	17	6	0,1,3,4,6,7,8,9,10,12,13,14,16,17,18,19,20,21,22,25,26,27,28,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,59,60,61,62,63,65,68,69,71,72,73,74,75,77,78,80,81,82,83,84,85	2,5,11,15,23,24,29,30,35,56,58,64,66,67,70,76,79
2	3	69	23	17	6	0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,30,31,33,35,39,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,60,61,62,64,65,66,67,68,70,71,72,73,74,76,77,78,79,80,81,82,83,84,85	4,18,19,20,32,34,36,37,38,40,41,42,50,59,63,69,75
2	4	69	23	17	6	0,1,2,3,4,5,6,8,9,11,12,13,15,16,18,19,20,22,23,24,25,26,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,46,47,48,49,50,51,52,53,54,56,57,58,59,60,62,63,64,65,66,67,69,70,72,73,75,76,78,79,80,82,83,84	7,10,14,17,21,27,28,43,45,55,61,68,71,74,77,81,85
