repeat	outer_fold	model_id	n_train	events_train	n_test	events_test	ibs	ibs_status	ibs_grid_n	ibs_grid_min	ibs_grid_max	km_survival_at_grid_start	km_survival_at_grid_end	zero_time_case_in_train	zero_time_case_in_test
0	0	KM_NULL	68	23	18	6	0.0953195804964	PASS	18	384.726315789	970.6	0.90973702914	0.704354853228	True	False
0	1	KM_NULL	69	24	17	5	0.176357939519	PASS	20	444.8	1268.2	0.925791855204	0.680936100388	True	False
0	2	KM_NULL	69	23	17	6	0.167503860589	PASS	20	362.6	1333.4	0.927536231884	0.706772810494	False	True
0	3	KM_NULL	69	23	17	6	0.170287217264	PASS	19	382.915789474	1310.2	0.926011029412	0.704830211678	True	False
0	4	KM_NULL	69	23	17	6	0.224131955616	PASS	20	457.2	1553.4	0.924616180783	0.696274538221	True	False
1	0	KM_NULL	68	23	18	6	0.117723507361	PASS	20	315.8	1037.8	0.926011029412	0.706700395102	False	True
1	1	KM_NULL	69	24	17	5	0.192479750558	PASS	20	407.6	1540.6	0.926237161531	0.683127340377	True	False
1	2	KM_NULL	69	23	17	6	0.22246445597	PASS	20	513.6	1553.4	0.92485677828	0.700189673207	True	False
1	3	KM_NULL	69	23	17	6	0.126292859923	PASS	20	377	944.6	0.926011029412	0.698079335139	True	False
1	4	KM_NULL	69	23	17	6	0.193857893569	PASS	16	525.147368421	1310.2	0.848756047705	0.70373802321	True	False
2	0	KM_NULL	68	23	18	6	0.18308248085	PASS	20	377	1553.4	0.925373134328	0.710239362432	True	False
2	1	KM_NULL	69	24	17	5	0.205500690128	PASS	18	454.031578947	1540.6	0.895633412263	0.678994660217	True	False
2	2	KM_NULL	69	23	17	6	0.161200320817	PASS	19	381.210526316	1277.8	0.926011029412	0.700704841161	True	False
2	3	KM_NULL	69	23	17	6	0.213878318892	PASS	20	513.6	1333.4	0.925043350603	0.692669018293	False	True
2	4	KM_NULL	69	23	17	6	0.113570883634	PASS	14	499.021052632	896	0.880191456879	0.706092797133	True	False
3	0	KM_NULL	68	23	18	6	0.162206966838	PASS	20	377	1277.8	0.924899312959	0.695471073763	True	False
3	1	KM_NULL	69	24	17	5	0.147917366841	PASS	20	370.4	1242.6	0.926877470356	0.692442593298	False	True
3	2	KM_NULL	69	23	17	6	0.215514012073	PASS	20	362.6	1553.4	0.925791855204	0.693803070477	True	False
3	3	KM_NULL	69	23	17	6	0.214720417165	PASS	20	520.8	1371.8	0.924828492191	0.700431332599	True	False
3	4	KM_NULL	69	23	17	6	0.0797968111927	PASS	20	315.8	970.6	0.926470588235	0.712498121612	True	False
4	0	KM_NULL	68	23	18	6	0.191315246323	PASS	20	362.6	1371.8	0.924899312959	0.687164187829	True	False
4	1	KM_NULL	69	24	17	5	0.0868799668623	PASS	20	370.4	977.6	0.925791855204	0.695353808294	True	False
4	2	KM_NULL	69	23	17	6	0.159673105281	PASS	20	362.6	1310.2	0.926877470356	0.705847821743	False	True
4	3	KM_NULL	69	23	17	6	0.228389705787	PASS	20	457.2	1553.4	0.925302277279	0.695297485289	True	False
4	4	KM_NULL	69	23	17	6	0.142453417849	PASS	20	331.4	1037.8	0.926470588235	0.707881015435	True	False
5	0	KM_NULL	68	23	18	6	0.226773309597	PASS	20	460.8	1553.4	0.925105395694	0.693984919781	False	True
5	1	KM_NULL	69	24	17	5	0.100210900792	PASS	20	370.4	977.6	0.926470588235	0.688453649986	True	False
5	2	KM_NULL	69	23	17	6	0.13192396101	PASS	20	400.4	970.6	0.925302277279	0.70474022051	True	False
5	3	KM_NULL	69	23	17	6	0.208890293117	PASS	19	380.936842105	1553.4	0.911075367647	0.698964677333	True	False
5	4	KM_NULL	69	23	17	6	0.176310560489	PASS	18	426.957894737	1371.8	0.911075367647	0.705865999651	True	False
6	0	KM_NULL	68	23	18	6	0.195309593444	PASS	18	422.915789474	1333.4	0.90973702914	0.698669914851	True	False
6	1	KM_NULL	69	24	17	5	0.191798086928	PASS	20	407.6	1540.6	0.925338537174	0.68071173943	True	False
6	2	KM_NULL	69	23	17	6	0.19623585605	PASS	20	400.4	1333.4	0.925302277279	0.693754083958	True	False
6	3	KM_NULL	69	23	17	6	0.115250739885	PASS	20	362.6	970.6	0.927090301003	0.708314572358	False	True
6	4	KM_NULL	69	23	17	6	0.139854585096	PASS	20	362.6	1277.8	0.926470588235	0.711786702615	True	False
7	0	KM_NULL	68	23	18	6	0.145761944298	PASS	20	362.6	1310.2	0.926011029412	0.708415552281	False	True
7	1	KM_NULL	69	24	17	5	0.183128873276	PASS	20	460.4	1268.2	0.925089857105	0.680136017224	True	False
7	2	KM_NULL	69	23	17	6	0.187937143867	PASS	20	377	1333.4	0.925791855204	0.699323013679	True	False
7	3	KM_NULL	69	23	17	6	0.202994865136	PASS	20	400.4	1333.4	0.925521335583	0.697761011445	True	False
7	4	KM_NULL	69	23	17	6	0.0810799768397	PASS	20	315.8	979.4	0.926470588235	0.709342859485	True	False
8	0	KM_NULL	68	23	18	6	0.112228768355	PASS	20	362.6	970.6	0.925373134328	0.698150652985	True	False
