scenario_id	scenario_index	family	target_events	replicates	target_train_n	target_test_n	recipe_path	recipe_sha256	recipe_size_bytes
CORE_0000	0	CORE_PHASE_DIAGRAM	5	200	8	500	simulations\05b\recipes\CORE_0000.npz	bc5f8801c1a1d885ee1368eca3f26aeeac4c28a6a7ba4f31e17ecac8bbc1d649	57758
CORE_0001	1	CORE_PHASE_DIAGRAM	5	200	8	500	simulations\05b\recipes\CORE_0001.npz	850f7888ac48c158d3cd8b734a702f53cb24ad146aaac87460fe2db5cde3bbca	58360
CORE_0002	2	CORE_PHASE_DIAGRAM	5	200	8	500	simulations\05b\recipes\CORE_0002.npz	f8e70a46ec1942e502695cc0bce26a7c1e44d429fc1feceacc308a32a20db1b3	57186
CORE_0003	3	CORE_PHASE_DIAGRAM	5	200	8	500	simulations\05b\recipes\CORE_0003.npz	c542db1dc43773b9c022a81a67ccad341bbb85e6a1005ee60bef0b62c1359028	56427
CORE_0004	4	CORE_PHASE_DIAGRAM	5	200	8	500	simulations\05b\recipes\CORE_0004.npz	357ed5bce928e48bb97ba9278af667157a7543d40fa6bb9b1c2fbfdd2a1605fb	54956
CORE_0005	5	CORE_PHASE_DIAGRAM	5	200	8	500	simulations\05b\recipes\CORE_0005.npz	3d259b1646d411579d00ce56951057c0bfa84ca8100e5aaed4c79e1a7ebd535a	59425
CORE_0006	6	CORE_PHASE_DIAGRAM	10	200	17	500	simulations\05b\recipes\CORE_0006.npz	a9ecfd8ca1af033503db2c81bc73684b3d68802a1f6be58eabba10cb3d0c16d0	57791
CORE_0007	7	CORE_PHASE_DIAGRAM	10	200	17	500	simulations\05b\recipes\CORE_0007.npz	1f47764c87d525adad445761545f7bcf1bb9d96a324d3ac527cba3e9763129f1	58424
CORE_0008	8	CORE_PHASE_DIAGRAM	10	200	17	500	simulations\05b\recipes\CORE_0008.npz	7fe3c6b50f08397a98b4e6e56a8947bd25d15369e04a690a0ed597e8db676df5	57204
CORE_0009	9	CORE_PHASE_DIAGRAM	10	200	17	500	simulations\05b\recipes\CORE_0009.npz	99f9b84efcb9d71e11a1d1fa8fc84eda2cdb892f29a9a3ef07bed98fe30db824	56281
CORE_0010	10	CORE_PHASE_DIAGRAM	10	200	17	500	simulations\05b\recipes\CORE_0010.npz	779da5d030dd0730021b0f46fe83887a82905a43a33febce2d97eb80f74e4e42	55003
CORE_0011	11	CORE_PHASE_DIAGRAM	10	200	17	500	simulations\05b\recipes\CORE_0011.npz	873070c535b65cd37e52fc4d0fd82dc209a9e018bafc62b5146aeef74db0f53e	59425
CORE_0012	12	CORE_PHASE_DIAGRAM	15	200	25	500	simulations\05b\recipes\CORE_0012.npz	db5ae2c8ea5c5bc0fe98b3c7bf57efb0aa08d823ed01539da1b0dad90eb0b52b	57753
CORE_0013	13	CORE_PHASE_DIAGRAM	15	200	25	500	simulations\05b\recipes\CORE_0013.npz	647beaef75d29aec1f6ea2b1278c22e24b793d1aaad577300faec12d911fae6f	58468
CORE_0014	14	CORE_PHASE_DIAGRAM	15	200	25	500	simulations\05b\recipes\CORE_0014.npz	a0b6200b8053e1ebbb362e7430d4c8108b19d07e461f05996c7e5d7417737ef4	57280
CORE_0015	15	CORE_PHASE_DIAGRAM	15	200	25	500	simulations\05b\recipes\CORE_0015.npz	8d1c6c62acda689bd2047560bc1095abbd615cf2424dd9a9794f45c53fd926b2	56419
CORE_0016	16	CORE_PHASE_DIAGRAM	15	200	25	500	simulations\05b\recipes\CORE_0016.npz	42539681f2d66bde4ff100a9382cfb1b882fd30674c8d8ecd0c2f06eb345f05a	54964
CORE_0017	17	CORE_PHASE_DIAGRAM	15	200	25	500	simulations\05b\recipes\CORE_0017.npz	608e18648a439a149c14ca402c739c4f191e7852bd22c047e6d9c3546b29a3d5	59483
CORE_0018	18	CORE_PHASE_DIAGRAM	20	200	33	500	simulations\05b\recipes\CORE_0018.npz	98409cd0bc4943d73d58ea47199cffc5cbe50aa188c1de4b35fd21aab7e0b6a5	57730
CORE_0019	19	CORE_PHASE_DIAGRAM	20	200	33	500	simulations\05b\recipes\CORE_0019.npz	80b525b8264ab596f1bf42d4311c9f4ca158aa94520fe9235a6a8ffeaf0f764b	58295
CORE_0020	20	CORE_PHASE_DIAGRAM	20	200	33	500	simulations\05b\recipes\CORE_0020.npz	b9555c704c274c6b641e4d68ea3d4af4c0ae5d644f4f190a0b11e1ffccb91e98	57380
CORE_0021	21	CORE_PHASE_DIAGRAM	20	200	33	500	simulations\05b\recipes\CORE_0021.npz	d002b1ebcb7a4061a0273f2c4d19e6fef189265d3177743382d06bc392f619e3	56352
CORE_0022	22	CORE_PHASE_DIAGRAM	20	200	33	500	simulations\05b\recipes\CORE_0022.npz	8a007a9ab416a07c2e78e408a4fee962dec6fbe9dffeb2531c7920203ae54caf	54962
CORE_0023	23	CORE_PHASE_DIAGRAM	20	200	33	500	simulations\05b\recipes\CORE_0023.npz	66f14cfe41ac7bce2af084990678310dd5908e3163d9360967aca1ed0ec22779	59413
CORE_0024	24	CORE_PHASE_DIAGRAM	29	200	48	500	simulations\05b\recipes\CORE_0024.npz	e7863df0c2cd4a1a584cfc94754955b82f20c6c1289bd3626a39837b09a85e0e	57773
CORE_0025	25	CORE_PHASE_DIAGRAM	29	200	48	500	simulations\05b\recipes\CORE_0025.npz	a214f7d88984c0b31acd70fd1a8b340f27e7ca88b0d15d29959c3fd8fac6bea0	58538
CORE_0026	26	CORE_PHASE_DIAGRAM	29	200	48	500	simulations\05b\recipes\CORE_0026.npz	f5960d848c71c5a324d32f2e932106307aa77bebad9a809d95dbf1cd8746535d	57181
CORE_0027	27	CORE_PHASE_DIAGRAM	29	200	48	500	simulations\05b\recipes\CORE_0027.npz	99c6e3ac619f59408f3135ef1606e4c2b6fb09d63ceff669a43faa33e2ec3bfd	56318
CORE_0028	28	CORE_PHASE_DIAGRAM	29	200	48	500	simulations\05b\recipes\CORE_0028.npz	8749a9ef0c592e46501a580b7dee28016b31d561135a053e45262f7bb85b6ea7	55039
CORE_0029	29	CORE_PHASE_DIAGRAM	29	200	48	500	simulations\05b\recipes\CORE_0029.npz	f020f405f931fdd42c7a01adae71971f6897a548bd6bec59974029f1df2599a3	59433
CORE_0030	30	CORE_PHASE_DIAGRAM	40	200	67	500	simulations\05b\recipes\CORE_0030.npz	b775e12e4b995f7b645b50eb1c8ed4c9ba33e13858123857f20e58b8a04adb6e	57714
CORE_0031	31	CORE_PHASE_DIAGRAM	40	200	67	500	simulations\05b\recipes\CORE_0031.npz	04ab3502c202083cbddbdd0b269c34fe7e3e04c529f95525423488c2aa5c6b02	58464
CORE_0032	32	CORE_PHASE_DIAGRAM	40	200	67	500	simulations\05b\recipes\CORE_0032.npz	c6266ec71e65b6942c98ceba5b144f6a96739cade7a5ada68d59dfb12b2d3b1c	57285
CORE_0033	33	CORE_PHASE_DIAGRAM	40	200	67	500	simulations\05b\recipes\CORE_0033.npz	aaacf28b9e669a495580393f14065d901f39888918c0d1abe7886bdf3a780b28	56436
CORE_0034	34	CORE_PHASE_DIAGRAM	40	200	67	500	simulations\05b\recipes\CORE_0034.npz	bb62ffbd989f9595986e3cf3cde393d6ab0a8b44c36c46ca0bbb2b13cbde7ca0	54961
CORE_0035	35	CORE_PHASE_DIAGRAM	40	200	67	500	simulations\05b\recipes\CORE_0035.npz	cf29eb00d8869cfaeab8146f355f5bc266db0a441bdb566b94a68e2d91434e84	59491
STRESS_0036	36	SHIFT_CENSOR_STRESS	10	100	12	500	simulations\05b\recipes\STRESS_0036.npz	d5b21b7ae73cee05e48e053d14822d3facae970c412515187f31834508a188f6	29960
STRESS_0037	37	SHIFT_CENSOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0037.npz	e5ce327cfe4d34a5f7557fe19fd59ddae8dfe13f602704424e732264671a6f03	29940
STRESS_0038	38	SHIFT_CENSOR_STRESS	10	100	25	500	simulations\05b\recipes\STRESS_0038.npz	f85dfa859bc21e8541a39d12c7f92a1dbe81bedbf5fb4c22eb35c888a2e88ed9	30038
STRESS_0039	39	SHIFT_CENSOR_STRESS	10	100	12	500	simulations\05b\recipes\STRESS_0039.npz	5ee7d6ac2107ac42279ea9cc18a69b1262e1de822dc1d61abb518ac6bdf9f27c	29940
STRESS_0040	40	SHIFT_CENSOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0040.npz	8785f10f7920e8af6b58c5200f07bbbdeeab9210e74db5c8845692ec70d8c2b0	29891
STRESS_0041	41	SHIFT_CENSOR_STRESS	10	100	25	500	simulations\05b\recipes\STRESS_0041.npz	28a0004ec8a053d77816aa5c09479243549e1cdf16c4d9af61afcd6ee55be76a	29854
STRESS_0042	42	SHIFT_CENSOR_STRESS	10	100	12	500	simulations\05b\recipes\STRESS_0042.npz	f1d13e761230ce32b9d0add70b66d9919b4bc6cacfdd1980c8f21e42de5013a8	29861
STRESS_0043	43	SHIFT_CENSOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0043.npz	fd4350c7371a574ac4a92bd9a0909ba5ed61b9fd58c97491d09788e093e1ea97	29898
STRESS_0044	44	SHIFT_CENSOR_STRESS	10	100	25	500	simulations\05b\recipes\STRESS_0044.npz	ab7ed28aa6e6a5fd7791d2d63032f5360f8de08be65f2a4db46bc70a1da2061b	29946
STRESS_0045	45	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0045.npz	8600cdbb6467e576670a0a7d97d420ed7002929095c665c9585bae862edbb204	29928
STRESS_0046	46	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0046.npz	3c207dc10d2506c053e19d776c7d61abf9418fd0e72973c5bb532f3172463f6c	29583
STRESS_0047	47	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0047.npz	2506e5ef17056d594e69dec95c1ece822173657a54497492368107aca2e8b4a2	29942
STRESS_0048	48	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0048.npz	966fc81f7139c3b0d8de4a53abcde1771b33a3a59dc8ec3b48e2f3491a6ad7ea	31248
STRESS_0049	49	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0049.npz	466685260766bdea8eb77a99e17d26f69beffcbac4969465797cc1539dfaec1d	30847
STRESS_0050	50	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0050.npz	91c6379a3286acc877a0309231cc032b3184490e303ab4a57f04c3047d763f16	31183
STRESS_0051	51	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0051.npz	01948ff0dd567f85a1a09c02e6f2f353b17f084257d7dfb07b5aebb59dcd6e2a	32080
STRESS_0052	52	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0052.npz	60beb0b022a0b6cba26cb260a8d57d1fd2cc044d7a9eb0544675294093c342f4	31987
STRESS_0053	53	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0053.npz	6509952e86842849a7885a87bf1ab43976f6fb41e6c7ba2710e398c6496371cd	32165
STRESS_0054	54	SHIFT_CENSOR_STRESS	10	100	12	500	simulations\05b\recipes\STRESS_0054.npz	749e653e1f9b83ac599660f83e6809ebe8229f6e67d691375b57228d4ca06b9e	31001
STRESS_0055	55	SHIFT_CENSOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0055.npz	17509f3a5b9b6161f057ad6d4efbae809219f69f1122d1db5650d2cffbff28bc	30995
STRESS_0056	56	SHIFT_CENSOR_STRESS	10	100	25	500	simulations\05b\recipes\STRESS_0056.npz	e2c39c5e041eeef228e98f99ab0195b044304812de027eca96d12944ad87d62a	31015
STRESS_0057	57	SHIFT_CENSOR_STRESS	10	100	12	500	simulations\05b\recipes\STRESS_0057.npz	682cb1fca9bc1ae9a7165c4132ee5ffbecc4d25650583f69506b8b11eb9d9f16	30989
STRESS_0058	58	SHIFT_CENSOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0058.npz	302eb6f88c24f24f211b1f3166c7ad9626924ee7d03796e321f37d363b4d26cc	31026
STRESS_0059	59	SHIFT_CENSOR_STRESS	10	100	25	500	simulations\05b\recipes\STRESS_0059.npz	3d0e809c8361b74fbeb62813981fc5ff7dad1e7225a8a3dab11c5f7df56d3a6c	31031
STRESS_0060	60	SHIFT_CENSOR_STRESS	10	100	12	500	simulations\05b\recipes\STRESS_0060.npz	4882947ca6ee0915aa0fc53d0b43de59a7bcfcb89690d4f6bf708e8f87ecf259	31023
STRESS_0061	61	SHIFT_CENSOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0061.npz	b4a3b988accf21af0d9ecac163104745c3d70aa81b99c424103693bbf97426b0	30958
STRESS_0062	62	SHIFT_CENSOR_STRESS	10	100	25	500	simulations\05b\recipes\STRESS_0062.npz	0fcabdff7f5d59da5fb1b5b67a4c8afa17bd637a612fa07bdf93ee46be0c65b9	30978
STRESS_0063	63	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0063.npz	520df034c3cff97265e7bbb3d3e78fb74a77166124720a4652db4140416ce69d	30950
STRESS_0064	64	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0064.npz	cf1af310dfd933297eaf58f0cc7fbdbe813a8d512f3b2876551e65c860cb5fdd	30799
STRESS_0065	65	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0065.npz	a8af9ef1ab0336414ec54285146973c7c8bd40dbd700d31b62506bba72c59513	30194
STRESS_0066	66	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0066.npz	0d04a6d660e108cc1b1def26774ad0c9517d738b988f52680a110933b344802a	32237
STRESS_0067	67	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0067.npz	21a51224f145616fa08c751d4389f4602c2064a09ff85018b0dd494af57fe15a	32054
STRESS_0068	68	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0068.npz	ea6cf899ad7f122a9d66561fea7d020da25c50d4c2c8d30cfecdaf423a16ccfc	31448
STRESS_0069	69	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0069.npz	f6ee33790f64aee0fdeb19c4a8eb751aa50c1535d440113ba2c76a5a14b5d61f	33271
STRESS_0070	70	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0070.npz	92d834d0f39128b9fcc8bbfa78207cade4c732d2b259d35908d5e2bca8a629cd	33078
STRESS_0071	71	MAPPING_PRIOR_STRESS	10	100	17	500	simulations\05b\recipes\STRESS_0071.npz	c18a5057462d395c5498c5bf2fc7931107488098ce6f425c4e6fa457d586cb2d	32417
STRESS_0072	72	SHIFT_CENSOR_STRESS	15	100	19	500	simulations\05b\recipes\STRESS_0072.npz	64dd94ae5cf4cbb78f9e14e3edf5999177a953574468cf1264fa5644d1c36b75	29946
STRESS_0073	73	SHIFT_CENSOR_STRESS	15	100	25	500	simulations\05b\recipes\STRESS_0073.npz	cd9364edb03cee5e3a021c0ae63bf3b384db64c1fc5b8ecef016b0c3a4f07d1e	29938
STRESS_0074	74	SHIFT_CENSOR_STRESS	15	100	38	500	simulations\05b\recipes\STRESS_0074.npz	4a9d68288bef90a98b6983058bcd927e1f3c7d176039b0cc4614b22fa413103d	29924
STRESS_0075	75	SHIFT_CENSOR_STRESS	15	100	19	500	simulations\05b\recipes\STRESS_0075.npz	dde4dbac74e4c06f3cf5df0cfa2de1324279571db88b09f33660f5309068573e	29878
STRESS_0076	76	SHIFT_CENSOR_STRESS	15	100	25	500	simulations\05b\recipes\STRESS_0076.npz	e88221d204a941f158811a140afb1e5c5eafff6b3db67893dd140a55b310938a	29963
STRESS_0077	77	SHIFT_CENSOR_STRESS	15	100	38	500	simulations\05b\recipes\STRESS_0077.npz	b6ebc2510076c469982e7af7db6b67a8ace39ca485dd4c001d01557c5cffe498	29826
STRESS_0078	78	SHIFT_CENSOR_STRESS	15	100	19	500	simulations\05b\recipes\STRESS_0078.npz	3fec58ee5b190724356c84634fc6fd796d3b6391627f70f965718e9a23bab97c	29891
